trip_id,origin_id,destination_id,mode,distance_km,hour_of_day,day_of_week,is_weekend,is_peak_hour,weather,traffic_level,scheduled_headway_min,passenger_density,upstream_delay_min,actual_travel_time_min,delay_minutes,actual_waiting_time_min,fare_inr,dataset_label
TRIP_000001,METRO_ALUVA,METRO_EDAPPALLY,metro,8.25,13,1,0,0,Moderate Rain,1,7.0,0.54,0.3,14.5,0.0,3.7,28.2,Demo / Synthetic Data
TRIP_000002,METRO_MG_ROAD,METRO_VYTTILA,metro,4.75,22,0,0,0,Clear,1,7.0,0.26,0.3,8.6,0.0,1.4,20.5,Demo / Synthetic Data
TRIP_000003,METRO_EDAPPALLY,METRO_KALOOR,metro,4.0,5,0,0,0,Clear,1,7.0,0.3,0.2,7.2,0.0,3.0,18.8,Demo / Synthetic Data
TRIP_000004,METRO_VYTTILA,WATER_VYTTILA,walking,0.2,5,4,0,0,Clear,1,0.0,0.21,0.0,2.7,0.0,0.0,0.0,Demo / Synthetic Data
TRIP_000005,WATER_FORT_KOCHI,BUS_FORT_KOCHI_STAND,walking,0.44,18,1,0,1,Clear,3,0.0,0.7,0.0,5.5,0.0,0.0,0.0,Demo / Synthetic Data
TRIP_000006,WATER_VYTTILA,WATER_KAKKANAD,water_metro,9.48,5,6,1,0,Clear,1,15.0,0.38,0.7,28.3,0.8,7.9,30.0,Demo / Synthetic Data
TRIP_000007,BUS_FORT_KOCHI_STAND,BUS_MATTANCHERRY_BAZAAR,feeder_bus,1.79,15,2,0,0,Clear,1,12.0,0.31,1.1,6.6,2.6,5.7,13.2,Demo / Synthetic Data
TRIP_000008,METRO_EDAPPALLY,BUS_AMRITA_HOSPITAL,feeder_bus,1.83,8,0,0,1,Clear,4,12.0,0.75,7.7,11.6,14.9,10.9,13.3,Demo / Synthetic Data
TRIP_000009,METRO_MG_ROAD,WATER_HIGH_COURT,feeder_bus,1.02,16,4,0,0,Moderate Rain,2,12.0,0.47,2.2,4.9,4.6,7.2,11.8,Demo / Synthetic Data
TRIP_000010,METRO_EDAPPALLY,METRO_KALOOR,metro,4.18,19,4,0,1,Moderate Rain,3,7.0,0.91,0.2,7.9,0.0,4.3,19.2,Demo / Synthetic Data
TRIP_000011,BUS_VYTTILA_HUB_BAY1,BUS_KAKKANAD_CIVIL,feeder_bus,6.8,7,4,0,0,Clear,1,12.0,0.3,0.3,22.1,0.0,4.9,22.2,Demo / Synthetic Data
TRIP_000012,METRO_MG_ROAD,WATER_HIGH_COURT,feeder_bus,1.08,23,1,0,0,Clear,2,12.0,0.23,1.6,4.9,3.4,6.9,11.9,Demo / Synthetic Data
TRIP_000013,METRO_EDAPPALLY,METRO_KALOOR,metro,4.19,12,6,1,0,Moderate Rain,1,7.0,0.58,0.4,7.8,0.7,4.8,19.2,Demo / Synthetic Data
TRIP_000014,METRO_KALOOR,METRO_MG_ROAD,metro,2.13,12,6,1,0,Clear,1,7.0,0.24,0.3,3.8,0.5,1.5,14.7,Demo / Synthetic Data
TRIP_000015,WATER_VYTTILA,WATER_KAKKANAD,water_metro,9.37,19,5,1,1,Monsoon Heavy Rain,3,15.0,0.99,3.6,30.3,6.3,8.6,30.0,Demo / Synthetic Data
TRIP_000016,WATER_HIGH_COURT,WATER_VYPIN,water_metro,3.61,16,2,0,0,Clear,1,15.0,0.26,0.5,11.2,0.9,7.2,20.0,Demo / Synthetic Data
TRIP_000017,WATER_VYTTILA,WATER_KAKKANAD,water_metro,9.38,7,4,0,0,Clear,1,15.0,0.35,1.8,30.0,4.2,9.4,30.0,Demo / Synthetic Data
TRIP_000018,WATER_FORT_KOCHI,BUS_FORT_KOCHI_STAND,walking,0.43,12,1,0,0,Clear,2,0.0,0.33,0.0,5.4,0.0,0.0,0.0,Demo / Synthetic Data
TRIP_000019,WATER_VYTTILA,WATER_KAKKANAD,water_metro,9.41,22,1,0,0,Moderate Rain,1,15.0,0.54,0.9,29.0,1.7,7.6,30.0,Demo / Synthetic Data
TRIP_000020,METRO_EDAPPALLY,METRO_KALOOR,metro,4.06,12,6,1,0,Clear,2,7.0,0.39,0.0,6.8,0.0,4.7,18.9,Demo / Synthetic Data
TRIP_000021,METRO_EDAPPALLY,BUS_AMRITA_HOSPITAL,feeder_bus,1.71,17,2,0,1,Clear,4,12.0,0.76,9.1,12.7,17.4,10.2,13.1,Demo / Synthetic Data
TRIP_000022,METRO_EDAPPALLY,BUS_AMRITA_HOSPITAL,feeder_bus,2.05,11,5,1,0,Clear,1,12.0,0.27,2.1,7.9,3.4,7.6,13.7,Demo / Synthetic Data
TRIP_000023,BUS_THOPPUMPADY,METRO_ERNAKULAM_SOUTH,feeder_bus,5.11,9,2,0,1,Moderate Rain,4,12.0,0.83,8.1,22.3,16.1,11.0,19.2,Demo / Synthetic Data
TRIP_000024,WATER_FORT_KOCHI,BUS_FORT_KOCHI_STAND,walking,0.43,22,2,0,0,Clear,1,0.0,0.34,0.0,5.8,0.0,0.0,0.0,Demo / Synthetic Data
TRIP_000025,BUS_FORT_KOCHI_STAND,BUS_MATTANCHERRY_BAZAAR,feeder_bus,1.68,23,3,0,0,Moderate Rain,1,12.0,0.57,1.2,6.2,1.6,7.1,13.0,Demo / Synthetic Data
TRIP_000026,METRO_VYTTILA,METRO_THRIPUNITHURA,metro,5.18,21,3,0,0,Clear,1,7.0,0.33,0.0,9.9,0.0,4.2,21.4,Demo / Synthetic Data
TRIP_000027,METRO_EDAPPALLY,METRO_KALOOR,metro,4.1,8,1,0,1,Clear,3,7.0,0.6,0.3,7.8,0.1,2.8,19.0,Demo / Synthetic Data
TRIP_000028,BUS_FORT_KOCHI_STAND,BUS_MATTANCHERRY_BAZAAR,feeder_bus,1.69,7,3,0,0,Monsoon Heavy Rain,3,12.0,0.59,6.8,10.8,13.2,9.9,13.0,Demo / Synthetic Data
TRIP_000029,BUS_THOPPUMPADY,METRO_ERNAKULAM_SOUTH,feeder_bus,5.12,21,2,0,0,Moderate Rain,1,12.0,0.54,0.7,16.1,1.3,7.0,19.2,Demo / Synthetic Data
TRIP_000030,ORIGIN_1,DEST_4,water_metro,10.4,22,6,1,0,Clear,2,15.0,0.38,2.6,33.1,4.6,8.0,30.0,Demo / Synthetic Data
TRIP_000031,METRO_EDAPPALLY,BUS_AMRITA_HOSPITAL,feeder_bus,1.91,8,2,0,1,Moderate Rain,3,12.0,0.97,4.2,9.6,8.4,8.9,13.4,Demo / Synthetic Data
TRIP_000032,BUS_THOPPUMPADY,METRO_ERNAKULAM_SOUTH,feeder_bus,5.29,5,5,1,0,Clear,2,12.0,0.38,1.9,18.9,4.6,7.9,19.5,Demo / Synthetic Data
TRIP_000033,ORIGIN_17,DEST_6,metro,3.53,21,0,0,0,Clear,1,7.0,0.32,0.1,5.6,0.1,2.1,17.8,Demo / Synthetic Data
TRIP_000034,ORIGIN_17,DEST_20,metro,3.93,11,1,0,0,Clear,2,7.0,0.35,0.2,7.0,0.0,2.6,18.6,Demo / Synthetic Data
TRIP_000035,WATER_HIGH_COURT,WATER_VYPIN,water_metro,3.67,22,6,1,0,Clear,1,15.0,0.35,0.4,12.2,0.8,8.2,20.0,Demo / Synthetic Data
TRIP_000036,ORIGIN_20,DEST_11,metro,11.06,20,0,0,1,Moderate Rain,3,7.0,0.83,0.7,19.9,0.5,3.0,34.3,Demo / Synthetic Data
TRIP_000037,METRO_MG_ROAD,WATER_HIGH_COURT,feeder_bus,1.05,14,1,0,0,Clear,2,12.0,0.32,2.8,4.9,4.6,7.7,11.9,Demo / Synthetic Data
TRIP_000038,METRO_KALOOR,METRO_MG_ROAD,metro,2.05,7,5,1,0,Clear,2,7.0,0.22,0.6,3.4,0.0,3.3,14.5,Demo / Synthetic Data
TRIP_000039,METRO_KALOOR,METRO_MG_ROAD,metro,1.88,22,6,1,0,Clear,1,7.0,0.21,0.4,2.9,0.0,4.7,14.1,Demo / Synthetic Data
TRIP_000040,METRO_MG_ROAD,WATER_HIGH_COURT,auto,1.24,22,1,0,0,Clear,2,2.0,0.21,0.7,3.3,1.6,1.8,30.0,Demo / Synthetic Data
TRIP_000041,BUS_FORT_KOCHI_STAND,BUS_MATTANCHERRY_BAZAAR,feeder_bus,1.81,11,4,0,0,Clear,3,12.0,0.29,3.8,9.3,7.3,7.2,13.3,Demo / Synthetic Data
TRIP_000042,WATER_HIGH_COURT,WATER_FORT_KOCHI,water_metro,4.31,14,3,0,0,Clear,3,15.0,0.21,1.4,14.0,2.4,7.7,20.0,Demo / Synthetic Data
TRIP_000043,ORIGIN_15,DEST_17,metro,7.97,19,0,0,1,Moderate Rain,3,7.0,0.98,0.4,13.9,0.0,4.3,27.5,Demo / Synthetic Data
TRIP_000044,METRO_KALOOR,METRO_MG_ROAD,metro,2.28,15,0,0,0,Clear,1,7.0,0.36,0.0,4.4,0.4,2.2,15.0,Demo / Synthetic Data
TRIP_000045,WATER_HIGH_COURT,WATER_BOLGATTY,water_metro,1.45,23,1,0,0,Moderate Rain,1,15.0,0.58,1.5,5.4,2.9,8.0,20.0,Demo / Synthetic Data
TRIP_000046,METRO_EDAPPALLY,METRO_KALOOR,metro,4.23,12,0,0,0,Clear,2,7.0,0.39,0.0,7.5,0.0,3.3,19.3,Demo / Synthetic Data
TRIP_000047,ORIGIN_3,DEST_17,walking,10.39,12,2,0,0,Clear,2,0.0,0.27,0.0,137.8,0.0,0.0,0.0,Demo / Synthetic Data
TRIP_000048,WATER_HIGH_COURT,WATER_FORT_KOCHI,water_metro,4.42,22,1,0,0,Moderate Rain,2,15.0,0.51,0.8,14.2,1.6,7.4,20.0,Demo / Synthetic Data
TRIP_000049,METRO_MG_ROAD,WATER_HIGH_COURT,auto,1.2,12,6,1,0,Clear,1,2.0,0.32,0.1,3.3,0.4,0.7,30.0,Demo / Synthetic Data
TRIP_000050,BUS_FORT_KOCHI_STAND,BUS_MATTANCHERRY_BAZAAR,feeder_bus,1.82,11,0,0,0,Moderate Rain,2,12.0,0.56,1.9,6.8,4.1,6.1,13.3,Demo / Synthetic Data
TRIP_000051,BUS_FORT_KOCHI_STAND,BUS_MATTANCHERRY_BAZAAR,feeder_bus,1.94,16,3,0,0,Clear,2,12.0,0.22,2.0,8.2,4.2,7.1,13.5,Demo / Synthetic Data
TRIP_000052,METRO_EDAPPALLY,METRO_KALOOR,metro,4.1,8,0,0,1,Clear,2,7.0,0.75,0.1,7.4,0.0,2.8,19.0,Demo / Synthetic Data
TRIP_000053,METRO_EDAPPALLY,BUS_AMRITA_HOSPITAL,feeder_bus,1.81,8,1,0,1,Clear,3,12.0,0.61,7.2,11.5,14.1,10.2,13.3,Demo / Synthetic Data
TRIP_000054,WATER_FORT_KOCHI,BUS_FORT_KOCHI_STAND,walking,0.36,19,1,0,1,Clear,3,0.0,0.73,0.6,4.6,0.0,0.0,0.0,Demo / Synthetic Data
TRIP_000055,WATER_VYTTILA,WATER_KAKKANAD,water_metro,9.49,19,1,0,1,Clear,3,15.0,0.72,4.3,31.7,8.0,9.8,30.0,Demo / Synthetic Data
TRIP_000056,ORIGIN_18,DEST_4,metro,1.37,6,5,1,0,Clear,1,7.0,0.39,0.0,2.1,0.0,3.6,13.0,Demo / Synthetic Data
TRIP_000057,ORIGIN_3,DEST_8,feeder_bus,10.11,10,3,0,1,Moderate Rain,2,12.0,0.88,7.3,37.5,13.7,10.7,28.2,Demo / Synthetic Data
TRIP_000058,WATER_HIGH_COURT,WATER_FORT_KOCHI,water_metro,4.42,17,0,0,1,Monsoon Heavy Rain,2,15.0,0.97,3.4,15.8,6.8,9.8,20.0,Demo / Synthetic Data
TRIP_000059,METRO_ALUVA,METRO_EDAPPALLY,metro,8.19,17,2,0,1,Clear,3,7.0,0.8,0.1,14.9,0.0,3.7,28.0,Demo / Synthetic Data
TRIP_000060,ORIGIN_10,DEST_14,walking,9.53,22,5,1,0,Clear,2,0.0,0.23,0.0,126.9,0.0,0.0,0.0,Demo / Synthetic Data
TRIP_000061,METRO_VYTTILA,METRO_THRIPUNITHURA,metro,5.11,11,2,0,0,Clear,2,7.0,0.33,0.0,9.3,0.2,2.9,21.2,Demo / Synthetic Data
TRIP_000062,METRO_EDAPPALLY,METRO_KALOOR,metro,4.26,23,5,1,0,Clear,2,7.0,0.28,0.1,7.6,0.1,4.4,19.4,Demo / Synthetic Data
TRIP_000063,METRO_EDAPPALLY,BUS_AMRITA_HOSPITAL,feeder_bus,1.86,6,0,0,0,Moderate Rain,1,12.0,0.49,1.0,6.9,1.2,5.0,13.3,Demo / Synthetic Data
TRIP_000064,METRO_VYTTILA,WATER_VYTTILA,walking,0.22,21,1,0,0,Clear,2,0.0,0.28,0.3,3.2,0.0,0.0,0.0,Demo / Synthetic Data
TRIP_000065,METRO_VYTTILA,WATER_VYTTILA,walking,0.28,7,6,1,0,Monsoon Heavy Rain,1,0.0,0.45,0.2,3.7,0.0,0.0,0.0,Demo / Synthetic Data
TRIP_000066,METRO_KALOOR,METRO_MG_ROAD,metro,2.24,12,3,0,0,Clear,1,7.0,0.23,0.1,4.0,0.2,3.5,14.9,Demo / Synthetic Data
TRIP_000067,WATER_HIGH_COURT,WATER_BOLGATTY,water_metro,1.44,23,4,0,0,Clear,1,15.0,0.23,1.0,4.9,2.3,9.8,20.0,Demo / Synthetic Data
TRIP_000068,METRO_KALOOR,METRO_MG_ROAD,metro,2.15,18,5,1,1,Clear,2,7.0,0.67,0.0,3.5,0.0,2.4,14.7,Demo / Synthetic Data
TRIP_000069,METRO_VYTTILA,WATER_VYTTILA,walking,0.45,15,2,0,0,Clear,2,0.0,0.33,0.3,6.0,0.0,0.0,0.0,Demo / Synthetic Data
TRIP_000070,METRO_EDAPPALLY,BUS_AMRITA_HOSPITAL,feeder_bus,1.74,12,2,0,0,Moderate Rain,1,12.0,0.52,0.5,5.9,1.4,4.6,13.1,Demo / Synthetic Data
TRIP_000071,WATER_SOUTH_CHITTOOR,WATER_CHERANALLOOR,water_metro,2.38,19,2,0,1,Moderate Rain,2,15.0,0.9,1.1,8.5,2.7,8.6,20.0,Demo / Synthetic Data
TRIP_000072,ORIGIN_1,DEST_15,water_metro,11.26,23,0,0,0,Clear,1,15.0,0.26,0.1,33.9,0.3,7.4,30.0,Demo / Synthetic Data
TRIP_000073,WATER_HIGH_COURT,WATER_FORT_KOCHI,water_metro,4.24,21,2,0,0,Clear,2,15.0,0.3,0.6,12.6,0.9,8.6,20.0,Demo / Synthetic Data
TRIP_000074,METRO_MG_ROAD,WATER_HIGH_COURT,feeder_bus,1.11,7,1,0,0,Clear,2,12.0,0.27,1.7,4.7,3.8,6.8,12.0,Demo / Synthetic Data
TRIP_000075,WATER_HIGH_COURT,WATER_VYPIN,water_metro,3.89,19,6,1,1,Clear,4,15.0,0.63,1.3,13.6,2.8,8.1,20.0,Demo / Synthetic Data
TRIP_000076,WATER_SOUTH_CHITTOOR,WATER_CHERANALLOOR,water_metro,2.53,21,0,0,0,Clear,1,15.0,0.4,0.3,7.5,0.2,5.6,20.0,Demo / Synthetic Data
TRIP_000077,WATER_FORT_KOCHI,BUS_FORT_KOCHI_STAND,walking,0.33,14,5,1,0,Monsoon Heavy Rain,2,0.0,0.56,0.0,4.0,0.0,0.0,0.0,Demo / Synthetic Data
TRIP_000078,METRO_VYTTILA,METRO_THRIPUNITHURA,metro,5.05,13,0,0,0,Moderate Rain,3,7.0,0.55,0.0,8.3,0.1,4.0,21.1,Demo / Synthetic Data
TRIP_000079,ORIGIN_5,DEST_9,water_metro,9.04,14,4,0,0,Clear,1,15.0,0.32,0.3,26.8,0.1,6.3,30.0,Demo / Synthetic Data
TRIP_000080,METRO_EDAPPALLY,BUS_AMRITA_HOSPITAL,feeder_bus,1.79,11,5,1,0,Clear,1,12.0,0.34,0.5,5.4,0.6,5.7,13.2,Demo / Synthetic Data
TRIP_000081,WATER_VYTTILA,WATER_KAKKANAD,water_metro,9.45,21,3,0,0,Clear,1,15.0,0.24,0.2,29.1,0.4,7.8,30.0,Demo / Synthetic Data
TRIP_000082,METRO_EDAPPALLY,METRO_KALOOR,metro,4.11,7,5,1,0,Clear,2,7.0,0.23,0.2,7.2,0.0,3.0,19.0,Demo / Synthetic Data
TRIP_000083,WATER_VYTTILA,WATER_KAKKANAD,water_metro,9.44,6,0,0,0,Moderate Rain,1,15.0,0.56,1.3,28.9,1.9,7.9,30.0,Demo / Synthetic Data
